Name,Town,MIDAS Number,Latitude,Longitude,Elevation,Notes,Name Change
 ,Belgrade,5285,44.4665847726,-69.83354376440001,0, , 
 ,Belgrade,5287,44.4655470024,-69.83357377519999,0, , 
"""Lower"" Twin Pond",T2 R9 WELS,2103,45.7984469436,-68.82792765790001,810,Lower Trout Pond - (This pond actually has a higher elevation), 
"""Upper"" Twin Pond",T2 R9 WELS,2102,45.8008139787,-68.8339754882,807,Upper Trout Pond (this pond actually has a lower elevation), 
(Little) Fish Pond,Pierce Pond Twp,6094,45.26183343619999,-70.1188605886,1910,looks like a naming error on USGS 7.5' maps - Fish Pond is on the next quad sheet to the West, 
1st Little Lyford Pond,Bowdoin College Grant East Twp,0430,45.5201449767,-69.3598638039,1191,Little Lyford Ponds, 
1st Pelletier Brook Lk,T16 R9 WELS,1564,47.0607931174,-68.9050388638,1254,"First Lake, First Negro Brook Lake (a historical name was offensive under 1 MRSA, Sec 1101)",Yes - offensive name changed
1st So. Br. Russell Pd,T8 R14 WELS,2978,46.38351126480001,-69.5187856813,1147, , 
2nd Little Lyford Pond,Bowdoin College Grant East Twp,0428,45.5230998743,-69.3643662417,1196,Little Lyford Ponds, 
2nd Pelletier Brook Lk,T16 R9 WELS,1566,47.05257885870001,-68.89663862890001,1256,"Second Lake, Second Negro Brook Lake (a historical name was offensive under 1 MRSA, Sec 1101)",Yes - offensive name changed
2nd So. Br. Russell Pd,T8 R14 WELS,2988,46.3733817806,-69.5220704218,1175, , 
3rd Pelletier Brook Lk,T16 R9 WELS,1560,47.0461712339,-68.8891879306,1244,"Third Lake, Third Negro Brook Lake (a historical name was offensive under 1 MRSA, Sec 1101)",Yes - offensive name changed
4th Pelletier Brook Lk,T16 R9 WELS,1562,47.0279379581,-68.8896167475,1313,"Fourth Lake, Fourth Negro Brook Lake (a historical name was offensive under 1 MRSA, Sec 1101)",Yes - offensive name changed
5th Pelletier Brook Lk,T15 R9 WELS,1504,46.9812058151,-68.8850367946,1286,"Fifth Negro Brook Lake (a historical name was offensive under 1 MRSA, Sec 1101)",Yes - offensive name changed
6th Pelletier Brook Lk,T15 R9 WELS,1502,46.9813259245,-68.9252133,1269,"Sixth Negro Brook Lake (a historical name was offensive under 1 MRSA, Sec 1101)",Yes - offensive name changed
Abbee Pond,Brownville,0940,45.3270869258,-69.0055299629,569, , 
Abbie Pond,Bowmantown Twp,3360,45.2980717486,-70.97207474139999,1945, , 
Abbotts Pond,Sumner,3472,44.4294528183,-70.51565230040001,1030, , 
Abol Deadwater,T2 R10 WELS,2058,45.8437102386,-69.0119338648,570,missing 24k lake/pond data - this feature is in the rivers layer, 
Abol Deadwater Pd-east,T2 R10 WELS,6510,45.8329349917,-68.9695703367,570, , 
Abol Deadwater Pd-west,T2 R10 WELS,2058,45.8349289543,-68.9820804925,570, , 
Abol Pond,T2 R9 WELS,2068,45.83824577279999,-68.9244490402,592, , 
Abol Pond (North),T2 R9 WELS,2068,45.84072771229999,-68.92182857260001,595,this feature was mapped as one pond on 15' maps and as two ponds on 1:24K USGS maps, 
Abrams Pond,Eastbrook,4444,44.6546274127,-68.2489074786,166,"Abraham Pond, Abrahams Pond, Abram's Pond", 
Ackley Pond,Cutler,1398,44.6760220888,-67.22312564800001,90, , 
Ackley Pond,Mount Chase,2200,46.088374753,-68.532052764,804, , 
Adams Pond,Standish,3368,43.8229355393,-70.6362643189,321, , 
Adams Pond,Bridgton,3396,43.9950088572,-70.7116704243,625, , 
Adams Pond,Newfield,3890,43.6445491962,-70.9085483304,440,Rock Haven Lake, 
Adams Pond,Boothbay,5366,43.8922299037,-69.6316684751,37, , 
Adeles Frog Pond,Belgrade,5283,44.5012686461,-69.7980495708,465, , 
Adley Pond,Phillips,2324,44.8301804986,-70.3818578936,975, , 
Alamoosook Lake,Orland,4336,44.5798487929,-68.7002133077,21,Great Lake, 
Aldens Pond,Gorham,0515,43.6825370783,-70.4535686169,190, ,Yes - unnamed pond to local name
Alder Brook Lake,Chapman,1779,46.6329110882,-68.1114420598,510, , 
Alder Lake,Chapman,1778,46.6141387376,-68.1690625647,664, , 
Alder Pond,T3 R5 BKP WKR,0120,45.33105474869999,-70.2160897397,1147, , 
Alder Pond,Alder Brook Twp,2504,45.7926923931,-70.1074112836,1315, , 
Alder Stream Pond,Corinna,0055,44.9192123,-69.24832702170001,218, , 
Alerton Lake,Monticello,1012,46.3281976637,-67.9031977347,465,Alberton Lake, 
Alewife Pond,Kennebunk,3984,43.437961459,-70.6041655314,115,Alewives Pond, 
Alford Lake,Hope,4798,44.2370521122,-69.2150038012,267, , 
Alger Pond,Winterport,7653,44.6699934176,-68.9159502118,250, , 
Allagash Lake,T8 R14 WELS,9787,46.3163617557,-69.52343759750001,1038, , 
Allagash Pond,T9 R15 WELS,2970,46.4217409808,-69.6712000949,1353, , 
Allen Bog Pond,Gray,5884,43.8667628306,-70.3779646385,310,Allen Bog, 
Allen Heath Pond,T24 MD BPP,6052,44.8471160413,-67.935306079,295, , 
Allen Pond,Parsonsfield,3184,43.7725177522,-70.9325726077,505, , 
Allen Pond,Greene,3788,44.2276225065,-70.1599118179,338, , 
Allen Pond,Sanford,3863,43.3807852769,-70.7439700961,215, , 
Allen Pond,T35 MD BPP,4516,44.9612114811,-68.0843260055,421, , 
Alligator Lake,T34 MD BPP,4498,44.9402352052,-68.2092882324,464, , 
